p_relation_id,child_name,child_id,child_unit,parent_name,parent_id,parent_unit,first_date,last_date
328,Nomos,https://openalex.org/P4310319939,256,C.H. Beck,https://openalex.org/P4310320552,285,2002-01-01,
329,Nomos Verlagsgesellschaft mbH and Co,https://openalex.org/P4323430492,256,C.H. Beck,https://openalex.org/P4310320552,285,2002-01-01,
2,"Oriental Institute, ASCR",https://openalex.org/P4310314309,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
99,Palgrave Macmillan,https://openalex.org/P4310319702,190,Macmillan Publishers,https://openalex.org/P4310319964,38,2000-01-01,2014-04-30
22,Palgrave Macmillan,https://openalex.org/P4310319703,190,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
18,Pan American Health Organization,https://openalex.org/P4310316868,0,World Health Organization,https://openalex.org/P4310319664,241,,
24,Pleiades Publishing,https://openalex.org/P4310320267,192,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
298,Policy Press,https://openalex.org/P4310320460,42,Bristol University Press,,128,1996-01-01,
57,Portland Press,https://openalex.org/P4310311608,194,Biochemical Society,https://openalex.org/P4310311715,288,,
43,Princeton School of Public and International Affairs,https://openalex.org/P4310315874,0,Princeton University,https://openalex.org/P4310316273,20,,
237,Protestant Theological Faculty – Charles University,https://openalex.org/P4310314315,0,Charles University,https://openalex.org/P4310314207,16,,
164,Pulsus Group,https://openalex.org/P4310313016,0,OMICS Publishing Group,https://openalex.org/P4310320466,186,,
332,Rombach Wissenschaft,,0,Rombach Verlag,,286,,2019-12-31
331,Rombach Wissenschaft,,0,Nomos,https://openalex.org/P4310319939,256,2020-01-01,
319,Routledge,https://openalex.org/P4310319847,200,Taylor & Francis,https://openalex.org/P4310320547,223,,
96,Saunders,https://openalex.org/P4310320479,276,Elsevier BV,https://openalex.org/P4310320990,44,,
108,Schattauer Verlag,https://openalex.org/P4310313753,0,Thieme Medical Publishers (Germany),https://openalex.org/P4310320000,227,,
273,School of Communications and Arts of the University of São Paulo,https://openalex.org/P4310312461,0,University of São Paulo,https://openalex.org/P4310312331,231,,
