child_id,publisher
https://openalex.org/P4310319947,University of Pennsylvania
https://openalex.org/P4310316159,University of Texas at Austin
https://openalex.org/P4310320517,University of Toronto
https://openalex.org/P4310316826,University of Washington
https://openalex.org/P4310320014,Brill
https://openalex.org/P4310312935,University of Toronto
https://openalex.org/P4310321318,American University
https://openalex.org/P4310321151,Wiley
https://openalex.org/P4310320253,Wiley
https://openalex.org/P4310317351,Polish Academy of Sciences
https://openalex.org/P4310315860,Wolters Kluwer
https://openalex.org/P4310319663,United Nations
