child_id,parent_id,child_name,parent_name
https://openalex.org/P4310321811,https://openalex.org/P4310321756,Ioffe Institute,Academy of Sciences of the USSR
https://openalex.org/P4310320083,https://openalex.org/P4310311669,IOP Publishing,Institute of Physics
https://openalex.org/P4310318577,https://openalex.org/P4310320017,IOS Press,SAGE Publishing
https://openalex.org/P4310319879,https://openalex.org/P4310319965,J.B. Metzler,Springer Nature
https://openalex.org/P4310321322,https://openalex.org/P4310316284,John F. Kennedy School of Government,Harvard University
https://openalex.org/P4310315678,https://openalex.org/P4310316510,Johns Hopkins University Press,Johns Hopkins University
https://openalex.org/P4310317420,https://openalex.org/P4310317485,Kielanowski Institute of Animal Physiology and Nutrition,Polish Academy of Sciences
https://openalex.org/P4310311857,https://openalex.org/P4310311730,King's College London,University of London
https://openalex.org/P4310321277,https://openalex.org/P4310321756,Lebedev Physical Institute,Academy of Sciences of the USSR
https://openalex.org/P4310314437,https://openalex.org/P4310314171,Library of the Czech Academy of Sciences,Czech Academy of Sciences
https://openalex.org/P4310315671,https://openalex.org/P4310318547,Lippincott Williams & Wilkins,Wolters Kluwer
https://openalex.org/P4310314509,https://openalex.org/P4310314477,"Ljubljana University Press, Faculty of Arts",University of Ljubljana
https://openalex.org/P4310319820,https://openalex.org/P4310319965,MAIK Nauka/Interperiodica,Springer Nature
https://openalex.org/P4310315688,https://openalex.org/P4310316012,Mary Lou Fulton Teachers College,Arizona State University
https://openalex.org/P4310320047,https://openalex.org/P4310314171,Masaryk Institute and Archive,Czech Academy of Sciences
https://openalex.org/P4310314144,https://openalex.org/P4310314295,Masaryk University Faculty of Science,Masaryk University
https://openalex.org/P4310313747,https://openalex.org/P4310313913,Max Planck Institute for Demographic Research,Max Planck Society
https://openalex.org/P4310313864,https://openalex.org/P4310313913,Max Planck Institute for Legal History and Legal Theory,Max Planck Society
https://openalex.org/P4310320448,https://openalex.org/P4310318547,Medknow,Wolters Kluwer
https://openalex.org/P4310316856,https://openalex.org/P4310316364,Michigan State University College of Law,Michigan State University
https://openalex.org/P4310315741,https://openalex.org/P4310316364,Michigan State University Press,Michigan State University
https://openalex.org/P4310317502,https://openalex.org/P4310317485,Museum and Institute of Zoology,Polish Academy of Sciences
https://openalex.org/P4310316030,https://openalex.org/P4310316284,Museum of Comparative Zoology,Harvard University
https://openalex.org/P4310312546,https://openalex.org/P4310312331,Museum of Zoology of the University of São Paulo,University of São Paulo
https://openalex.org/P4310319922,https://openalex.org/P4310320000,MVS Medizinverlage Stuttgart,Thieme Medical Publishers (Germany)
https://openalex.org/P4310319799,https://openalex.org/P4310316754,National Institute of Environmental Health Sciences,National Institutes of Health
https://openalex.org/P4310315807,https://openalex.org/P4310316754,National Institute on Alcohol Abuse and Alcoholism,National Institutes of Health
https://openalex.org/P4310319908,https://openalex.org/P4310319965,Nature Portfolio,Springer Nature
https://openalex.org/P4366736682,https://openalex.org/P4310319965,Nature Publishing Group,Springer Nature
https://openalex.org/P4310320007,https://openalex.org/P4310320535,Nauka,Russian Academy of Sciences
https://openalex.org/P4310317444,https://openalex.org/P4310317485,Nencki Institute of Experimental Biology,Polish Academy of Sciences
https://openalex.org/P4310316021,https://openalex.org/P4310315946,New York University School of Law,New York University
https://openalex.org/P4310319939,https://openalex.org/P4310320552,Nomos,C.H. Beck
https://openalex.org/P4323430492,https://openalex.org/P4310320552,Nomos Verlagsgesellschaft mbH and Co,C.H. Beck
https://openalex.org/P4310314309,https://openalex.org/P4310314171,"Oriental Institute, ASCR",Czech Academy of Sciences
https://openalex.org/P4310319703,https://openalex.org/P4310319965,Palgrave Macmillan,Springer Nature
https://openalex.org/P4310316868,https://openalex.org/P4310319664,Pan American Health Organization,World Health Organization
https://openalex.org/P4310320267,https://openalex.org/P4310319965,Pleiades Publishing,Springer Nature
https://openalex.org/P4310311608,https://openalex.org/P4310311715,Portland Press,Biochemical Society
https://openalex.org/P4310315874,https://openalex.org/P4310316273,Princeton School of Public and International Affairs,Princeton University
https://openalex.org/P4310314315,https://openalex.org/P4310314207,Protestant Theological Faculty – Charles University,Charles University
https://openalex.org/P4310313016,https://openalex.org/P4310320466,Pulsus Group,OMICS Publishing Group
https://openalex.org/P4310319847,https://openalex.org/P4310320547,Routledge,Taylor & Francis
https://openalex.org/P4310320479,https://openalex.org/P4310320990,Saunders,Elsevier BV
https://openalex.org/P4310313753,https://openalex.org/P4310320000,Schattauer Verlag,Thieme Medical Publishers (Germany)
https://openalex.org/P4310312461,https://openalex.org/P4310312331,School of Communications and Arts of the University of São Paulo,University of São Paulo
https://openalex.org/P4310311649,https://openalex.org/P4310311730,"School of Oriental and African Studies, University of London",University of London
https://openalex.org/P4310321726,https://openalex.org/P4310320466,SciTechnol,OMICS Publishing Group
https://openalex.org/P4310312755,https://openalex.org/P4310320535,Siberian Branch of the Russian Academy of Sciences,Russian Academy of Sciences
https://openalex.org/P4310319985,https://openalex.org/P4310319965,Spektrum-Verlag,Springer Nature
